Rank,Title,Website,Employees,Sector,Industry,Hqlocation,Hqaddr,Hqcity,Hqstate,Hqzip,Hqtel,Ceo,Ceo-title,Address,Ticker,Fullname,Revenues,Revchange,Profits,Prftchange,Assets,Totshequity
84,Allstate,http://www.allstate.com,43275,Financials,Insurance: Property and Casualty (Stock),"Northbrook, IL",2775 Sanders Rd.,Northbrook,IL,60062,847-402-5000,Thomas J. Wilson,Chairman & Chief Executive Officer,"2775 Sanders Rd., Northbrook, IL 60062",ALL,The Allstate Corporation,36534,2.5,1877,-13.5,108610,20573
85,Publix Super Markets,http://www.publix.com,191000,Food & Drug Stores,Food and Drug Stores,"Lakeland, FL",3300 Publix Corporate Pkwy.,Lakeland,FL,33811,863-688-1188,Randall T. Jones Sr.,"President, Chief Executive Officer & Director","3300 Publix Corporate Pkwy., Lakeland, FL 33811",ALL,"Publix Super Markets, Inc.",34274,5.1,2025.7,3.1,17464,13473
86,American Express,http://www.americanexpress.com,56400,Financials,Diversified Financials,"New York, NY",200 Vesey St.,New York,NY,10285,212-640-2000,Kenneth I. Chenault,Chairman & Chief Executive Officer,"200 Vesey St., New York, NY 10285",AXP,American Express Company,33823,-1.8,5408,4.7,158893,20501
87,TJX,http://www.tjx.com,235000,Retailing,Specialty Retailers: Apparel,"Framingham, MA",770 Cochituate Rd.,Framingham,MA,1701,508-390-1000,Ernie L. Herrman,"President, Chief Executive Officer & Director","770 Cochituate Rd., Framingham, MA 01701",TJX,"The TJX Companies, Inc.",33184,7.2,2298.2,0.9,12884,4511
88,Nike,http://www.nike.com,70700,Apparel,Apparel,"Beaverton, OR",1 Bowerman Dr.,Beaverton,OR,97005,503-671-6453,Mark G. Parker,"Chairman, President & Chief Executive Officer","1 Bowerman Dr., Beaverton, OR 97005",NKE,"Nike, Inc.",32376,5.8,3760,14.9,21396,12258
89,Exelon,http://www.exeloncorp.com,34396,Energy,Utilities: Gas and Electric,"Chicago, IL",10 S. Dearborn St.,Chicago,IL,60603,800-483-3220,Christopher M. Crane,"President, Chief Executive Officer & Director","10 S. Dearborn St., Chicago, IL 60603",EXC,Exelon Corporation,31360,6.5,1134,-50,114904,25837
90,General Dynamics,http://www.generaldynamics.com,98800,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA",2941 Fairview Park Dr.,Falls Church,VA,22042,703-876-3000,Phebe N. Novakovic,Chairman & Chief Executive Officer,"2941 Fairview Park Dr., Falls Church, VA 22042",GD,General Dynamics Corporation,31353,-0.4,2955,-0.3,32872,10976
91,Rite Aid,http://www.riteaid.com,70580,Food & Drug Stores,Food and Drug Stores,"Camp Hill, PA",30 Hunter Lane,Camp Hill,PA,17011,717-761-2633,John T. Standley,Chairman & Chief Executive Officer,"30 Hunter Lane, Camp Hill, PA 17011",RAD,Rite Aid Corporation,30737,15.9,165.5,-92.2,11277,581
92,Gilead Sciences,http://www.gilead.com,9000,Health Care,Pharmaceuticals,"Foster City, CA",333 Lakeside Dr.,Foster City,CA,94404,650-574-3000,John F. Milligan,"President, Chief Executive Officer & Director","333 Lakeside Dr., Foster City, CA 94404",GILD,"Gilead Sciences, Inc.",30390,-6.9,13501,-25.4,56977,18887
93,CHS,http://www.chsinc.com,12157,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, MN",5500 Cenex Dr.,Inver Grove Heights,MN,55077,651-355-6000,Jay D. Debertin,"President, Chief Executive Officer & Director","5500 Cenex Dr., Inver Grove Heights, MN 55077",GILD,CHS Inc.,30347,-12.2,424.2,-45.7,17318,7852
94,3M,http://www.3m.com,91584,Industrials,Miscellaneous,"St. Paul, MN",3M Center,St. Paul,MN,55144,651-733-1110,Inge G. Thulin,"Chairman, President & Chief Executive Officer","3M Center, St. Paul, MN 55144",MMM,3M Company,30109,-0.5,5050,4.5,32906,10298
95,Time Warner,http://www.timewarner.com,25000,Media,Entertainment,"New York, NY",1 Time Warner Center,New York,NY,10019,212-484-8000,Jeffrey L. Bewkes,Chairman & Chief Executive Officer,"1 Time Warner Center, New York, NY 10019",TWX,Time Warner Inc.,29318,4.3,3926,2.4,65966,24335
96,Charter Communications,http://www.charter.com,91500,Telecommunications,Telecommunications,"Stamford, CT",400 Atlantic St.,Stamford,CT,6901,203-905-7800,Thomas M. Rutledge,Chairman & Chief Executive Officer,"400 Atlantic St., Stamford, CT 06901",CHTR,"Charter Communications, Inc.",29003,197.3,3522,2.4,149067,40139
97,Northwestern Mutual,http://www.northwesternmutual.com,5646,Financials,"Insurance: Life, Health (Mutual)","Milwaukee, WI",720 E. Wisconsin Ave.,Milwaukee,WI,53202,414-271-1444,John E. Schlifske,Chairman & Chief Executive Officer,"720 E. Wisconsin Ave., Milwaukee, WI 53202",CHTR,"Northwestern Mutual Life Insurance Company, Inc.",28799,2.4,818,0.4,250441,20226
98,Facebook,http://www.facebook.com,17048,Technology,Internet Services and Retailing,"Menlo Park, CA",1601 Willow Rd.,Menlo Park,CA,94025,650-543-4800,Mark Zuckerberg,Chairman & Chief Executive Officer,"1601 Willow Rd., Menlo Park, CA 94025",FB,"Facebook, Inc.",27638,54.2,10217,177,64961,59194
99,Travelers Cos.,http://www.travelers.com,30900,Financials,Insurance: Property and Casualty (Stock),"New York, NY",485 Lexington Ave.,New York,NY,10017,917-778-6000,Alan D. Schnitzer,Chief Executive Officer & Director,"485 Lexington Ave., New York, NY 10017",TRV,"The Travelers Companies, Inc.",27625,3.1,3014,-12.4,100245,23221
100,Capital One Financial,http://www.capitalone.com,47300,Financials,Commercial Banks,"McLean, VA",1680 Capital One Dr.,McLean,VA,22102,703-720-1000,Richard D. Fairbank,"Chairman, President & Chief Executive Officer","1680 Capital One Dr., McLean, VA 22102",COF,Capital One Financial Corporation,27519,9.6,3751,-7.4,357033,47514
101,Twenty-First Century Fox,http://www.21cf.com,21500,Media,Entertainment,"New York, NY",1211 Ave. of the Americas,New York,NY,10036,212-852-7000,James R. Murdoch,Chief Executive Officer & Director,"1211 Ave. of the Americas, New York, NY 10036",FOXA,"Twenty-First Century Fox, Inc.",27326,-5.7,2755,-66.8,48365,13661
102,USAA,http://www.usaa.com,29943,Financials,Insurance: Property and Casualty (Stock),"San Antonio, TX",9800 Fredericksburg Rd.,San Antonio,TX,78288,210-498-2211,Stuart Parker,"President, Chief Executive Officer & Director","9800 Fredericksburg Rd., San Antonio, TX 78288",FOXA,United Services Automobile Association,27131,11.4,1779.1,-21.7,147290,28840
103,World Fuel Services,http://www.wfscorp.com,5000,Energy,Energy,"Miami, FL",9800 N.W. 41st St.,Miami,FL,33178,305-428-8000,Michael J. Kasbar,"Chairman, President & Chief Executive Officer","9800 N.W. 41st St., Miami, FL 33178",INT,World Fuel Services Corporation,27016,-11.1,126.5,-27.5,5413,1925
104,Philip Morris International,http://www.pmi.com,79500,"Food, Beverages & Tobacco",Tobacco,"New York, NY",120 Park Ave.,New York,NY,10017,917-663-2000,Andre Calantzopoulos,Chief Executive Officer & Director,"120 Park Ave., New York, NY 10017",PM,Philip Morris International Inc.,26685,-0.4,6967,1.4,36851,-12688
105,Deere,http://www.johndeere.com,56767,Industrials,Construction and Farm Machinery,"Moline, IL",1 John Deere Place,Moline,IL,61265,309-765-8000,Samuel R. Allen,Chairman & Chief Executive Officer,"1 John Deere Place, Moline, IL 61265",DE,Deere & Company,26644,-7.7,1523.9,-21.4,57981,6520
106,Kraft Heinz,http://www.kraftheinzcompany.com,41000,"Food, Beverages & Tobacco",Food Consumer Products,"Pittsburgh, PA",1 PPG Place,Pittsburgh,PA,15222,412-456-5700,Bernardo Hees,Chief Executive Officer & Director,"1 PPG Place, Pittsburgh, PA 15222",KHC,The Kraft Heinz Company,26487,44.4,3632,472.9,120480,57358
107,Tech Data,http://www.techdata.com,9500,Wholesalers,Wholesalers: Electronics and Office Equipment,"Clearwater, FL",5350 Tech Data Dr.,Clearwater,FL,33760,727-539-7429,Robert M. Dutkowsky,Chief Executive Officer & Director,"5350 Tech Data Dr., Clearwater, FL 33760",TECD,Tech Data Corporation,26235,-0.5,195.1,-26.6,7932,2170
108,Avnet,http://www.avnet.com,17700,Wholesalers,Wholesalers: Electronics and Office Equipment,"Phoenix, AZ",2211 S. 47th St.,Phoenix,AZ,85034,480-643-2000,William J. Amelio,Chief Executive Officer & Director,"2211 S. 47th St., Phoenix, AZ 85034",AVT,"Avnet, Inc.",26219,-6.1,506.5,-11.4,11240,4691
109,Mondelez International,http://www.mondelezinternational.com,90000,"Food, Beverages & Tobacco",Food Consumer Products,"Deerfield, IL",3 Pkwy. N.,Deerfield,IL,60015,847-943-4000,Irene B. Rosenfeld,Chairman & Chief Executive Officer,"3 Pkwy. N., Deerfield, IL 60015",MDLZ,"Mondelez International, Inc.",25923,-12.5,1659,-77.2,61538,25161
110,Macy’s,http://www.macysinc.com,148300,Retailing,General Merchandisers,"Cincinnati, OH",7 W. Seventh St.,Cincinnati,OH,45202,513-579-7000,Jeffrey Gennette,"President, Chief Executive Officer & Director","7 W. Seventh St., Cincinnati, OH 45202",M,"Macy's, Inc.",25778,-4.8,619,-42.3,19851,4323
111,AbbVie,http://www.abbvie.com,30000,Health Care,Pharmaceuticals,"North Chicago, IL",1 N. Waukegan Rd.,North Chicago,IL,60064,847-932-7900,Richard A. Gonzalez,Chairman & Chief Executive Officer,"1 N. Waukegan Rd., North Chicago, IL 60064",ABBV,AbbVie Inc.,25638,12.2,5953,15.7,66099,4636
112,McDonald’s,http://www.aboutmcdonalds.com,375000,"Hotels, Restaurants & Leisure",Food Services,"Oak Brook, IL",1 McDonald's Plaza,Oak Brook,IL,60523,630-623-3000,Stephen J. Easterbrook,"President, Chief Executive Officer & Director","1 McDonald's Plaza, Oak Brook, IL 60523",MCD,McDonald's Corporation,24622,-3.1,4686.5,3.5,31024,-2204
113,DuPont,http://www.dupont.com,46000,Chemicals,Chemicals,"Wilmington, DE",974 Centre Rd.,Wilmington,DE,19805,302-774-1000,Edward D. Breen,Chairman & Chief Executive Officer,"974 Centre Rd., Wilmington, DE 19805",DD,E.I. du Pont de Nemours and Company,24594,-12,2513,28.7,39964,9998
114,Northrop Grumman,http://www.northropgrumman.com,67000,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA",2980 Fairview Park Dr.,Falls Church,VA,22042,703-280-2900,Wesley G. Bush,"Chairman, President & Chief Executive Officer","2980 Fairview Park Dr., Falls Church, VA 22042",NOC,Northrop Grumman Corporation,24508,4.2,2200,10.6,25614,5259
115,ConocoPhillips,http://www.conocophillips.com,13300,Energy,"Mining, Crude-Oil Production","Houston, TX",600 N. Dairy Ashford Rd.,Houston,TX,77079,281-293-1000,Ryan M. Lance,Chairman & Chief Executive Officer,"600 N. Dairy Ashford Rd. , Houston, TX 77079",COP,ConocoPhillips,24360,-21.3,-3615,10.6,89772,34974
116,Raytheon,http://www.raytheon.com,63000,Aerospace & Defense,Aerospace and Defense,"Waltham, MA",870 Winter St.,Waltham,MA,2451,781-522-3000,Thomas A. Kennedy,Chairman & Chief Executive Officer,"870 Winter St., Waltham, MA 02451",RTN,Raytheon Company,24069,3.5,2211,6.6,30052,10066
117,Tesoro,http://www.tsocorp.com,6308,Energy,Petroleum Refining,"San Antonio, TX",19100 Ridgewood Pkwy.,San Antonio,TX,78259,210-626-6000,Gregory J. Goff,"Chairman, President & Chief Executive Officer","19100 Ridgewood Pkwy., San Antonio, TX 78259",TSO,Tesoro Corporation,24005,-14.7,734,-52.3,20398,5465
118,Arrow Electronics,http://www.arrow.com,18700,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, CO",9201 E. Dry Creek Rd.,Centennial,CO,80112,303-824-4000,Michael J. Long,"Chairman, President & Chief Executive Officer","9201 E. Dry Creek Rd., Centennial, CO 80112",ARW,"Arrow Electronics, Inc",23825,2.3,522.8,5,14206,4413
119,Qualcomm,http://www.qualcomm.com,30500,Technology,Semiconductors and Other Electronic Components,"San Diego, CA",5775 Morehouse Dr.,San Diego,CA,92121,858-587-1121,Steven M. Mollenkopf,Chief Executive Officer & Director,"5775 Morehouse Dr., San Diego, CA 92121",QCOM,Qualcomm Incorporated,23554,-6.8,5705,8.2,52359,31778
120,Progressive,http://www.progressive.com,31721,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, OH",6300 Wilson Mills Rd.,Mayfield Village,OH,44143,440-461-5000,Susan Patricia Griffith,"President, Chief Executive Officer & Director","6300 Wilson Mills Rd., Mayfield Village, OH 44143",PGR,The Progressive Corporation,23441,12.4,1031,-18.7,33428,7957
121,Duke Energy,http://www.duke-energy.com,28798,Energy,Utilities: Gas and Electric,"Charlotte, NC",550 S. Tryon St.,Charlotte,NC,28202,704-382-3853,Lynn J. Good,"Chairman, President & Chief Executive Officer","550 S. Tryon St., Charlotte, NC 28202",DUK,Duke Energy Corporation,23369,-1,2152,-23.6,132761,41033
122,Enterprise Products Partners,http://www.enterpriseproducts.com,6800,Energy,Pipelines,"Houston, TX",1100 Louisiana St.,Houston,TX,77002,713-381-6500,A. James Teague,Chief Executive Officer & Director,"1100 Louisiana St., Houston, TX 77002",EPD,Enterprise Products Partners L.P.,23022,-14.8,2513.1,-0.3,52194,22047
123,Amgen,http://www.amgen.com,19200,Health Care,Pharmaceuticals,"Thousand Oaks, CA",1 Amgen Center Dr.,Thousand Oaks,CA,91320,805-447-1000,Robert A. Bradway,Chairman & Chief Executive Officer,"1 Amgen Center Dr., Thousand Oaks, CA 91320",AMGN,Amgen Inc.,22991,6.1,7722,11.3,77626,29875
124,US Foods Holding,http://www.usfoods.com,25000,Wholesalers,Wholesalers: Food and Grocery,"Rosemont, IL",9399 W. Higgins Rd.,Rosemont,IL,60018,847-720-8000,Pietro Satriano,"President, Chief Executive Officer & Director","9399 W. Higgins Rd., Rosemont, IL 60018",USFD,US Foods Holding Corp.,22919,-0.9,209.8,25.2,8945,2538
125,U.S. Bancorp,http://www.usbank.com,71191,Financials,Commercial Banks,"Minneapolis, MN",800 Nicollet Mall,Minneapolis,MN,55402,651-466-3000,Andrew J. Cecere,"President, Chief Executive Officer & Director","800 Nicollet Mall, Minneapolis, MN 55402",USB,U.S. Bancorp,22744,5.8,5888,0.2,445964,47298
126,Aflac,http://www.aflac.com,10212,Financials,"Insurance: Life, Health (Stock)","Columbus, GA",1932 Wynnton Rd.,Columbus,GA,31999,706-323-3431,Daniel P. Amos,Chairman & Chief Executive Officer,"1932 Wynnton Rd., Columbus, GA 31999",AFL,Aflac Incorporated,22559,8.1,2659,5,129819,20482
127,Sears Holdings,http://www.searsholdings.com,140000,Retailing,General Merchandisers,"Hoffman Estates, IL",3333 Beverly Rd.,Hoffman Estates,IL,60179,847-286-2500,Edward S. Lampert,Chairman & Chief Executive Officer,"3333 Beverly Rd., Hoffman Estates, IL 60179",SHLD,Sears Holdings Corporation,22138,-12,-2221,5,9362,-3824
128,Dollar General,http://www.dollargeneral.com,121000,Retailing,Specialty Retailers: Other,"Goodlettsville, TN",100 Mission Ridge,Goodlettsville,TN,37072,615-855-4000,Todd J. Vasos,Chief Executive Officer & Director,"100 Mission Ridge, Goodlettsville, TN 37072",DG,Dollar General Corporation,21987,7.9,1251.1,7.4,11672,5406
129,AutoNation,http://www.autonation.com,26000,Retailing,"Automotive Retailing, Services","Fort Lauderdale, FL",200 S.W. First Ave.,Fort Lauderdale,FL,33301,954-769-6000,Michael J. Jackson,Chairman & Chief Executive Officer,"200 S.W. First Ave., Fort Lauderdale, FL 33301",AN,"AutoNation, Inc.",21609,3.6,430.5,-2.7,10060,2310
130,Community Health Systems,http://www.chs.net,108000,Health Care,Health Care: Medical Facilities,"Franklin, TN",4000 Meridian Blvd.,Franklin,TN,37067,615-465-7000,Wayne T. Smith,Chairman & Chief Executive Officer,"4000 Meridian Blvd., Franklin, TN 37067",CYH,"Community Health Systems, Inc.",21374,-5.8,-1721,"-1,189.20",21944,1615
131,Starbucks,http://www.starbucks.com,254000,"Hotels, Restaurants & Leisure",Food Services,"Seattle, WA",2401 Utah Ave. S.,Seattle,WA,98134,206-447-1575,Keven R. Johnson,"President, Chief Executive Officer & Director","2401 Utah Ave. S., Seattle, WA 98134",SBUX,Starbucks Corporation,21316,11.2,2817.7,2.2,14330,5884
132,Eli Lilly,http://www.lilly.com,41975,Health Care,Pharmaceuticals,"Indianapolis, IN",Lilly Corporate Center,Indianapolis,IN,46285,317-276-2000,David A. Ricks,"President, Chief Executive Officer & Director","Lilly Corporate Center, Indianapolis, IN 46285",LLY,Eli Lilly and Company,21222,6.3,2737.6,13.7,38806,14008
133,International Paper,http://www.internationalpaper.com,55000,Materials,"Packaging, Containers","Memphis, TN",6400 Poplar Ave.,Memphis,TN,38197,901-419-9000,Mark S. Sutton,Chairman & Chief Executive Officer,"6400 Poplar Ave., Memphis, TN 38197",IP,International Paper Company,21079,-5.8,904,-3.6,33345,4341
134,Tenet Healthcare,http://www.tenethealth.com,116475,Health Care,Health Care: Medical Facilities,"Dallas, TX",1445 Ross Ave.,Dallas,TX,75202,469-893-2200,Trevor Fetter,"Chairman, President & Chief Executive Officer","1445 Ross Ave., Dallas, TX 75202",THC,Tenet Healthcare Corporation,21070,4.8,-192,-3.6,24701,417
135,Abbott Laboratories,http://www.abbott.com,75000,Health Care,Medical Products and Equipment,"Abbott Park, IL",100 Abbott Park Rd.,Abbott Park,IL,60064,224-667-6100,Miles D. White,Chairman & Chief Executive Officer,"100 Abbott Park Rd., Abbott Park, IL 60064",ABT,Abbott Laboratories,20853,0.9,1400,-68.3,52666,20538
136,Dollar Tree,http://www.dollartree.com,116050,Retailing,Specialty Retailers: Other,"Chesapeake, VA",500 Volvo Pkwy.,Chesapeake,VA,23320,757-321-5000,Bob Sasser,Chief Executive Officer & Director,"500 Volvo Pkwy., Chesapeake, VA 23320",DLTR,"Dollar Tree, Inc.",20719,33.7,896.2,217.4,15702,5390
137,Whirlpool,http://www.whirlpoolcorp.com,93000,Industrials,"Electronics, Electrical Equipment","Benton Harbor, MI",2000 North M-63,Benton Harbor,MI,49022,269-923-5000,Jeff M. Fettig,Chairman & Chief Executive Officer,"2000 North M-63, Benton Harbor, MI 49022",WHR,Whirlpool Corporation,20718,-0.8,888,13.4,19153,4773
138,Southwest Airlines,http://www.southwest.com,53536,Transportation,Airlines,"Dallas, TX",2702 Love Field Dr.,Dallas,TX,75235,214-792-4000,Gary C. Kelly,Chairman & Chief Executive Officer,"2702 Love Field Dr., Dallas, TX 75235",LUV,Southwest Airlines Co.,20425,3.1,2244,2.9,23286,8441
139,Emerson Electric,http://www.emerson.com,103500,Industrials,"Electronics, Electrical Equipment","St. Louis, MO",8000 W. Florissant Ave.,St. Louis,MO,63136,314-553-2000,David N. Farr,Chairman & Chief Executive Officer,"8000 W. Florissant Ave., St. Louis, MO 63136",EMR,Emerson Electric Co.,20268,-9.1,1635,-39.7,21743,7568
140,Staples,http://www.staples.com,61503,Retailing,Specialty Retailers: Other,"Framingham, MA",500 Staples Dr.,Framingham,MA,1702,508-253-5000,Shira D. Goodman,"President, Chief Executive Officer & Director","500 Staples Dr., Framingham, MA 01702",SPLS,"Staples, Inc.",20217,-4,-1497,-494.8,8271,3688
141,Plains GP Holdings,http://www.plainsallamerican.com,5100,Energy,Pipelines,"Houston, TX",333 Clay St.,Houston,TX,77002,713-646-4100,Greg L. Armstrong,Chairman & Chief Executive Officer,"333 Clay St., Houston, TX 77002",PAGP,"Plains GP Holdings, L.P.",20182,-12.8,94,-20.3,26103,1737
142,Penske Automotive Group,http://www.penskeautomotive.com,24000,Retailing,"Automotive Retailing, Services","Bloomfield Hills, MI",2555 Telegraph Rd.,Bloomfield Hills,MI,48302,248-648-2500,Roger S. Penske,Chairman & Chief Executive Officer,"2555 Telegraph Rd., Bloomfield Hills, MI 48302",PAG,"Penske Automotive Group, Inc.",20143,4,342.9,5.2,8861,1751
143,Union Pacific,http://www.up.com,42919,Transportation,Railroads,"Omaha, NE",1400 Douglas St.,Omaha,NE,68179,402-544-5000,Lance M. Fritz,"President, Chief Executive Officer, COO & Director","1400 Douglas St., Omaha, NE 68179",UNP,Union Pacific Corporation,19941,-8.6,4233,-11.3,55718,19932
144,Danaher,http://www.danaher.com,62000,Technology,"Scientific, Photographic and Control Equipment","Washington, DC",2200 Pennsylvania Ave. N.W.,Washington,DC,20037,202-828-0850,Thomas P. Joyce Jr.,"President, Chief Executive Officer & Director","2200 Pennsylvania Ave. N.W., Washington, DC 20037",DHR,Danaher Corporation,19912,-4.8,2553.7,-23.9,45295,23003
145,Southern,http://www.southerncompany.com,32015,Energy,Utilities: Gas and Electric,"Atlanta, GA",30 Ivan Allen Jr. Blvd. N.W.,Atlanta,GA,30308,404-506-5000,Thomas A. Fanning,"Chairman, President & Chief Executive Officer","30 Ivan Allen Jr. Blvd. N.W., Atlanta, GA 30308",SO,The Southern Company,19896,13.8,2448,3.4,109697,24758
146,ManpowerGroup,http://www.manpowergroup.com,28000,Business Services,Temporary Help,"Milwaukee, WI",100 Manpower Place,Milwaukee,WI,53212,414-961-1000,Jonas Prising,Chairman & Chief Executive Officer,"100 Manpower Place, Milwaukee, WI 53212",MAN,ManpowerGroup Inc.,19654,1.7,443.7,5.8,7574,2362
147,Bristol-Myers Squibb,http://www.bms.com,25000,Health Care,Pharmaceuticals,"New York, NY",345 Park Ave.,New York,NY,10154,212-546-4000,Giovanni Caforio,Chief Executive Officer & Director,"345 Park Ave., New York, NY 10154",BMY,Bristol-Myers Squibb Company,19427,17.3,4457,184.8,33707,16177
148,Altria Group,http://www.altria.com,8300,"Food, Beverages & Tobacco",Tobacco,"Richmond, VA",6601 W. Broad St.,Richmond,VA,23230,804-274-2200,Martin J. Barrington,"Chairman, President & Chief Executive Officer","6601 W. Broad St., Richmond, VA 23230",MO,"Altria Group, Inc.",19337,2.6,14239,171.7,45932,12770
149,Fluor,http://www.fluor.com,61551,Engineering & Construction,"Engineering, Construction","Irving, TX",6700 Las Colinas Blvd.,Irving,TX,75039,469-398-7000,David T. Seaton,Chairman & Chief Executive Officer,"6700 Las Colinas Blvd., Irving, TX 75039",FLR,Fluor Corporation,19037,5.1,281.4,-31.8,9216,3125
150,Kohl’s,http://www.kohls.com,85000,Retailing,General Merchandisers,"Menomonee Falls, WI",N56 W17000 Ridgewood Dr.,Menomonee Falls,WI,53051,262-703-7000,Kevin Mansell,"Chairman, President & Chief Executive Officer","N56 W17000 Ridgewood Dr., Menomonee Falls, WI 53051",KSS,Kohl's Corporation,18686,-2.7,556,-17.4,13574,5177
151,Lear,http://www.lear.com,148400,Motor Vehicles & Parts,Motor Vehicles and Parts,"Southfield, MI",21557 Telegraph Rd.,Southfield,MI,48033,248-447-1500,Matthew J. Simoncini,"President, Chief Executive Officer & Director","21557 Telegraph Rd., Southfield, MI 48033",LEA,Lear Corporation,18558,1.9,975.1,30.8,9901,3057
152,Jabil Circuit,http://www.jabil.com,138000,Technology,Semiconductors and Other Electronic Components,"St. Petersburg, FL",10560 Dr. Martin Luther King Jr. St. N.,St. Petersburg,FL,33716,727-577-9749,Mark T. Mondello,Chief Executive Officer & Director,"10560 Dr. Martin Luther King Jr. St. N., St. Petersburg, FL 33716",JBL,"Jabil Circuit, Inc.",18353,2.5,254.1,-10.5,10323,2438
153,Hartford Financial Services Group,http://www.thehartford.com,16900,Financials,Insurance: Property and Casualty (Stock),"Hartford, CT",1 Hartford Plaza,Hartford,CT,6155,860-547-5000,Christopher J. Swift,Chairman & Chief Executive Officer,"1 Hartford Plaza, Hartford, CT 06155",HIG,"The Hartford Financial Services Group, Inc.",18300,-0.4,896,-46.7,223432,16903
154,Thermo Fisher Scientific,http://www.thermofisher.com,54800,Technology,"Scientific, Photographic and Control Equipment","Waltham, MA",168 Third Ave.,Waltham,MA,2451,781-622-1000,Marc N. Casper,"President, Chief Executive Officer & Director","168 Third Ave., Waltham, MA 02451",TMO,Thermo Fisher Scientific Inc.,18274,7.7,2021.8,2.3,45908,21539
155,Kimberly-Clark,http://www.kimberly-clark.com,42000,Household Products,Household and Personal Products,"Irving, TX",351 Phelps Dr.,Irving,TX,75038,972-281-1200,Thomas J. Falk,Chairman & Chief Executive Officer,"351 Phelps Dr., Irving, TX 75038",KMB,Kimberly-Clark Corporation,18202,-2.1,2166,113.8,14602,-102
156,Molina Healthcare,http://www.molinahealthcare.com,21000,Health Care,Health Care: Insurance and Managed Care,"Long Beach, CA",200 Oceangate,Long Beach,CA,90802,562-435-3666,Jospeh W. White,Interim President & Chief Executive Officer,"200 Oceangate, Long Beach, CA 90802",MOH,"Molina Healthcare, Inc.",17782,25.4,52,-63.6,7449,1649
157,PG&E Corp.,http://www.pgecorp.com,24000,Energy,Utilities: Gas and Electric,"San Francisco, CA",77 Beale St.,San Francisco,CA,94105,415-973-1000,Geisha J. Williams,"President, Chief Executive Officer & Director","77 Beale St., San Francisco, CA 94105",PCG,PG&E Corporation,17666,4.9,1393,59.4,68598,17940
158,Supervalu,http://www.supervalu.com,38000,Food & Drug Stores,Food and Drug Stores,"Eden Prairie, MN",11840 Valley View Rd.,Eden Prairie,MN,55344,952-828-4000,Mark Gross,"President, Chief Executive Officer & Director","11840 Valley View Rd., Eden Prairie, MN 55344",SVU,Supervalu Inc.,17529,-1.6,178,-7.3,4370,-441
159,Cummins,http://www.cummins.com,55400,Industrials,Industrial Machinery,"Columbus, IN",500 Jackson St.,Columbus,IN,47201,812-377-5000,N. Thomas Linebarger,Chairman & Chief Executive Officer,"500 Jackson St., Columbus, IN 47201",CMI,Cummins Inc.,17509,-8.4,1394,-0.4,15011,6875
160,CenturyLink,http://www.centurylink.com,40000,Telecommunications,Telecommunications,"Monroe, LA",100 CenturyLink Dr.,Monroe,LA,71203,318-388-9000,Glen F. Post III,"President, Chief Executive Officer & Director","100 CenturyLink Dr., Monroe, LA 71203",CTL,"CenturyLink, Inc.",17470,-2.4,626,-28.7,47017,13399
161,AECOM,http://www.aecom.com,87000,Engineering & Construction,"Engineering, Construction","Los Angeles, CA",1999 Ave. of the Stars,Los Angeles,CA,90067,213-593-8000,Michael S. Burke,Chairman & Chief Executive Officer,"1999 Ave. of the Stars, Los Angeles, CA 90067",ACM,AECOM,17411,-3.2,96.1,-28.7,13727,3367
162,Xerox,http://www.xerox.com,133600,Technology,Computer Peripherals,"Norwalk, CT",45 Glover Ave.,Norwalk,CT,6850,203-968-3000,Jeffrey Jacobson,Chief Executive Officer & Director,"45 Glover Ave., Norwalk, CT 06850",XRX,Xerox Corporation,17126,-8.2,-477,-200.6,18145,4803
163,Marriott International,http://www.marriott.com,226500,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Bethesda, MD",10400 Fernwood Rd.,Bethesda,MD,20817,301-380-3000,Arne M. Sorenson,"President, Chief Executive Officer & Director","10400 Fernwood Rd., Bethesda, MD 20817",MAR,"Marriott International, Inc.",17072,17.9,780,-9.2,24140,5357
164,Paccar,http://www.paccar.com,23000,Industrials,Construction and Farm Machinery,"Bellevue, WA",777 106th Ave. N.E.,Bellevue,WA,98004,425-468-7400,Ronald E. Armstrong,Chief Executive Officer & Director,"777 106th Ave. N.E., Bellevue, WA 98004",PCAR,PACCAR Inc,17033,-10.9,521.7,-67.5,20639,6778
165,General Mills,http://www.generalmills.com,39000,"Food, Beverages & Tobacco",Food Consumer Products,"Minneapolis, MN",1 General Mills Blvd.,Minneapolis,MN,55426,763-764-7600,Jeffrey L. Harmening,Chief Executive Officer & Director,"1 General Mills Blvd., Minneapolis, MN 55426",GIS,"General Mills, Inc.",16563,-6.1,1697.4,39,21712,4930
